ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
395,한국폴리텍Ⅰ대학서울강서캠퍼스,전문대학,사립,서울,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.44780982719521,71.4384263287492,71.44246673278961,71.38566,70.26818
396,한국폴리텍Ⅰ대학서울정수캠퍼스,전문대학,사립,서울,C그룹,44.41730947961487,44.11736419318575,44.010977202375216,43.187838745780944,67.42551954941952,67.38685021094547,67.39414279324272,67.39659070990939,67.39166345439976,67.39902107978462,67.39654174094164,67.24667,67.61021
397,한국폴리텍Ⅰ대학성남캠퍼스,전문대학,사립,경기,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.43661747515308,71.43257707111268,71.4384263287492,71.45788,70.60904
398,한국폴리텍Ⅰ대학제주캠퍼스,전문대학,사립,제주,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.25804105755111,71.25028015973508,71.24934632318396,71.24856189966869,71.2511345006788,71.24622604108286,71.24856189966872,71.24856189966872,71.31571,71.43328
399,한국폴리텍Ⅱ대학남인천캠퍼스,전문대학,사립,인천,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.3985583471263,71.27613708939379,71.25282743686263,71.4478098271952,71.550125,71.5573
400,한국폴리텍Ⅱ대학인천캠퍼스,전문대학,사립,인천,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.46504279939974,71.45543955542153,71.44096452248412,71.44780982719523,71.44780982719521,71.4478098271952,71.43257707111268,71.39572,70.67547
401,한국폴리텍Ⅱ대학화성캠퍼스,전문대학,사립,경기,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.33260677269779,71.32740061988677,71.32740061988677,71.36934,70.27899
402,한국폴리텍Ⅲ대학강릉캠퍼스,전문대학,사립,강원,C그룹,44.4496172806886,44.158259195850604,44.052043300709755,43.25320164948675,71.49004913182264,71.47531282646138,71.46768309823503,71.47963919769114,71.47706659668104,71.48017868345791,71.49013185150199,71.45281,71.512115
403,한국폴리텍Ⅲ대학원주캠퍼스,전문대학,사립,강원,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.25039735318145,71.49004913182264,71.49905786796957,71.47706659668103,71.47706659668106,71.47963919769114,71.47706659668104,71.49801636894531,71.535965,71.30194
404,한국폴리텍Ⅲ대학춘천캠퍼스,전문대학,사립,강원,C그룹,46.90429323476704,44.11736419318575,43.996563910160866,43.22352746048918,71.47442629784574,71.44605605697554,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
405,한국폴리텍Ⅳ대학대전캠퍼스,전문대학,사립,대전,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
406,한국폴리텍Ⅳ대학아산캠퍼스,전문대학,사립,충남,C그룹,44.448348491607305,44.1517793416474,43.99318573625144,43.22427058888856,71.46504279939974,71.44605605697554,71.4384263287492,71.44780982719523,71.44780982719521,71.4478098271952,71.45320457449337,71.0083,70.37036
407,한국폴리텍Ⅳ대학청주캠퍼스,전문대학,사립,충북,C그룹,44.41730947961487,44.11736419318575,44.035625587254074,43.24450691959211,71.44409302713547,71.44605605697554,71.4384263287492,71.43842632874922,71.43842632874922,71.4384263287492,71.4384263287492,71.45084,71.47487
408,한국폴리텍Ⅳ대학충남캠퍼스,전문대학,사립,충남,C그룹,44.418578268696166,44.11968266045413,43.998987868292545,43.22658568019262,71.47442629784574,71.49626259872565,71.48074835305597,71.49801636894533,71.49801636894533,71.49801636894531,71.49801636894531,71.45426,71.439255
409,한국폴리텍Ⅴ대학광주캠퍼스,전문대학,사립,광주,C그룹,44.418578268696166,44.12384404738896,44.00314925522737,43.2189935411425,69.05681165708582,71.50564609717165,71.4980163689453,71.49801636894533,71.49801636894533,71.49801636894531,71.49801636894531,71.45426,71.439255
410,한국폴리텍Ⅴ대학순천캠퍼스,전문대학,사립,전남,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.42942741104766,71.38517334723453,71.76145951166608,71.74776198957012,71.31930008336067,71.69872504033009,71.23418,71.22921
411,한국폴리텍Ⅴ대학익산캠퍼스,전문대학,사립,전북,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.44605605697554,71.4384263287492,71.43842632874922,71.43842632874922,71.4384263287492,71.4384263287492,71.45084,71.47487
412,한국폴리텍Ⅴ대학전남캠퍼스,전문대학,사립,전남,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.49626259872565,71.48863287049932,71.49801636894533,71.49801636894533,71.49801636894531,71.49801636894531,71.45426,71.439255
413,한국폴리텍Ⅴ대학전북캠퍼스,전문대학,사립,전북,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.45347652558146,71.43760186993413,71.4478098271952,71.44780982719523,71.43257707111269,71.4478098271952,71.4384263287492,71.4055,71.08905
414,한국폴리텍Ⅵ대학구미캠퍼스,전문대학,사립,경북,C그룹,44.62683759196662,44.341637143019135,43.996563910160866,43.22352746048918,71.46504279939974,71.44020679933901,71.4384263287492,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
415,한국폴리텍Ⅵ대학대구캠퍼스,전문대학,사립,대구,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.46163332080646,67.41575553247141,71.44246673278961,71.43842632874922,71.43842632874922,71.4384263287492,71.4384263287492,71.45084,71.47487
416,한국폴리텍Ⅵ대학영남융합기술캠퍼스,전문대학,사립,대구,C그룹,44.448348491607305,44.15409780891577,44.04269650837647,43.25030905163322,71.51099890408692,71.49626259872565,71.48863287049932,71.48863287049933,71.48863287049932,71.48863287049932,71.48863287049932,71.443245,71.52872
417,한국폴리텍Ⅵ대학영주캠퍼스,전문대학,사립,경북,C그룹,44.448348491607305,44.1517793416474,44.035625587254074,43.31585914709426,71.44456973715488,71.43049145432663,71.4384263287492,71.48863287049933,71.32442183889887,71.48863287049932,71.34098244114698,70.0493,69.84692
418,한국폴리텍Ⅶ대학동부산캠퍼스,전문대학,사립,부산,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.44780982719523,73.33974318356373,73.72809715821806,73.72809715821808,73.64556,73.80197
419,한국폴리텍Ⅶ대학부산캠퍼스,전문대학,사립,부산,C그룹,44.41730947961487,44.11736419318575,43.99318573625144,43.22078354815152,71.47442629784574,71.44605605697554,71.4478098271952,71.44780982719523,71.44780982719521,71.4478098271952,71.4478098271952,71.44167,71.40503
420,한국폴리텍Ⅶ대학울산캠퍼스,전문대학,사립,울산,C그룹,44.41730947961487,44.11736419318575,44.04954939383029,43.22078354815152,71.47442629784574,71.45543955542153,71.4478098271952,71.45320457449338,71.45320457449337,71.45320457449337,71.4478098271952,71.23718,70.386604
